,precision,recall,f1-score,support
FLB,1.0,1.0,1.0,12.0
LLB,1.0,0.9166666666666666,0.9565217391304348,36.0
LOCA,0.5789473684210527,0.5789473684210527,0.5789473684210527,19.0
LOCAC,0.64,0.6666666666666666,0.6530612244897959,24.0
LR,1.0,1.0,1.0,36.0
MD,0.6153846153846154,0.6666666666666666,0.64,36.0
RI,1.0,1.0,1.0,12.0
RW,1.0,1.0,1.0,12.0
SGATR,1.0,1.0,1.0,28.0
SGBTR,1.0,1.0,1.0,27.0
SLBIC,1.0,0.9642857142857143,0.9818181818181818,28.0
SLBOC,0.5,0.5,0.5,24.0
accuracy,0.8503401360544217,0.8503401360544217,0.8503401360544217,0.8503401360544217
macro avg,0.8611943319838057,0.8577694235588971,0.8591957094882888,294.0
weighted avg,0.8554892726321297,0.8503401360544217,0.8525141533583669,294.0
